,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,适宜人群,别墅类型,户型介绍,小区介绍,售房详情,税费解析,周边配套,用水类型,用电类型,装修描述,燃气价格,交通出行,权属抵押
0,['金宇彩虹嘉都'],富阳-银湖科技城,119.941451,30.099955,260,12893,提前预约随时可看,1.03118E+11,2,6室2厅1厨4卫,高楼层 (共6层),201.67㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2021/10/9,商品房,2019/9/4,普通住宅,满两年,共有,"
                                有抵押 160万元 农商银行康月路支行
                              ",已上传房本照片,1.90729E+11,"
                    
视野宽阔，采光充足，单价低户型好，设施配套齐全
                  ","
                    高桥地铁口的现房，11站到滨江，7站到未来科技城，适合来杭不久想置业的刚需家庭
                  ","
                    
小区距离万达200米左右，6号线已开通，彩虹嘉都刚好在地铁口。另外彩虹快速路延伸段跟中环高速也在小区边上，另外还有汽车客运站，不论是自己开车还是坐地铁，坐公交都很方便。
                  ",,,,,,,,,,,,
1,['紫云山庄'],富阳-银湖科技城,120.004132,30.14911,550,31343,提前预约随时可看,1.03118E+11,21,5室3厅1厨3卫,低楼层 (共3层),175.48㎡,,暂无数据,,南,钢混结构,精装,,,2021/10/6,商品房,2015/1/23,别墅,满五年,共有,"
                                有抵押 82万元
                              ",已上传房本照片,211007CQ812297,"
                    色调淡雅，简约温馨，设计合理，生活交通便利
                  ","
                    适合2个小孩家庭，父母也可以一起生活，有专属的朋友聚会接待区，儿童游乐嬉戏区，学习阅读区。
                  ","
                    北入户铁门灯光小庭院，全落地窗采光井自然光照明。一楼主动：会客厅、游乐区、餐厅厨房，中岛高度定制，让女主人不劳累愉快地充分展示厨艺；二楼主静：4室2卫干湿分离；三楼主静：书房和学习阅读区，潮男洗衣房和整理平台及晾晒露台；四楼半层储物阁楼。
                  ",独栋,"
                    装修比较新，随处体现主人对精致生活细节的追求，不奢华，强调舒适，空间布局合理，动静干湿分离。
                  ",,,,,,,,,,
2,['绿城富春和园'],富阳-富春,119.9366237,30.06818433,458,27375,提前预约随时可看,1.03118E+11,0,4室2厅1厨2卫,低楼层 (共17层),167.31㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2021/10/6,商品房,2016/3/16,普通住宅,满五年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,210422HB125678,"
                    此房已满五年，产证面积167.31方，小区中间位置，景观楼层
                  ","
                    绿城富春和园位于金桥北路469号，离公望街地铁口100米，小区共有17幢高层和39幢法式别墅组成，共有小区居民1550户，物业费2.24一平方，小区人车分离，

采有法式连廊设计，无论刮风下雨都可在小区内自由走动，小区内有游泳池，健身房，公共娱乐设施，配套齐全
                  ",,,"
                    业主杭州人，因业主考虑杭州买房，需要腾购房资格，诚心出售此房
                  ","
                    此房四房两厅两卫，户型方正，三开间朝南，两房朝南，两房朝北，前后双阳台
                  ",,,,,,,,,
3,['逸城'],富阳-东洲,120.0445989,30.08462614,305,14027,提前预约随时可看,1.03109E+11,46,5室2厅1厨3卫,高楼层 (共4层),217.45㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2020/5/22,商品房,2009/8/3,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210509TC127539,"
                    逸城 跃层  户型正气 视野开阔 楼层好 满两年 
                  ","
                    开 发 商：杭州华立永通房地产开发有限公司物业公司：绿升物业建筑年代：2008年建成物 业 费：0.80元/平米·月
                  ",,,"
                    商场：华辰便利医院：富阳人民医院邮局：市心北路邮政营业厅银行：富阳农村合作银行东洲支行、富阳农村合作银行环桥路支行
                  ","
                    房龄：2008年，产权70年产权。户型正气 一层客厅厨房餐厅 客厅带阳台 二楼两房朝南 带阳台露台，视野开阔。
                  ",,,,,,,,,
4,['万安秀水山庄'],富阳-银湖科技城,120.000894,30.148066,900,30925,提前预约随时可看,1.03114E+11,9,4室2厅1厨3卫,低楼层 (共1层),291.03㎡,,暂无数据,,南 北,钢混结构,毛坯,,,2021/3/19,商品房,2014/9/15,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210319WP323149,"
                    地理位置优越、物业管理严服务热情让您安心居住


                  ","
                    小区大环境优越，阳光充足，氛围自在悠闲，闹中取静，物业热情尽责，其乐融融，老少皆宜


                  ",,独栋,,"
                    由于房东房产有多处，现在诚心出售此房，寻找有缘人接手优质好房！


                  ","
                    税费金额，满五年（免增值税）只有契税、个人所得税。契税首套1.5% 二套2% 个人所得税1%


                  ","
                    受降镇幼儿园：浙江新世纪贸易专修学院：杭富*市医院：银湖骨伤科医院、浙江省望江山疗养院邮局：银湖邮政所银行：富阳农村合作银行施家园分理处其他：杭州野生动物世界、午潮山森林公园


                  ",,,,,,,
5,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,168,12399,提前预约随时可看,1.03107E+11,108,2室1厅1厨2卫,高楼层 (共24层),135.5㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2019/10/27,商品房,2017/4/7,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,1.90608E+11,"
                    房子高楼层，视野杠杠滴，采光没的说，，简装修，房东诚售
                  ","
                    华庭云顶位于杭州富阳区银湖别墅度假区东南侧，园区占地238亩，总建筑面积约20万平方米，规划建有12幢小高层和高层山居名宅，约1600余户。云顶的建筑依山而建，户型均为精装修设计，位于320国道旁，距杭州市区15公里。
                  ",,,,"
                    天猫小店，佐明便利店，受降镇农贸市场、世纪华联(紫云山庄东北)，云顶*市、野生动物园。银湖书院
                  ",,,"
                    位于320国道旁，地铁口，出行方便，来往有很多公交车，小区里面更有514直达吴山广场的公交车，早晚6班，准时出发，小区环境很好，适合居住
                  ",,,,,,
6,['云水山居'],富阳-银湖科技城,119.9090246,30.12099724,145,16440,提前预约随时可看,1.03117E+11,13,3室2厅1厨2卫,高楼层 (共16层),88.2㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯四户,有,2021/9/5,商品房,2018/6/15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,1.81027E+11,"
                    3房2卫双阳台，位置好满屋有阳光，拓展15p，得房率95%以上
                  ","
                    云水山居的多联、双联、高层景观公寓等高尚住宅源于自然的灵感设计，和谐坐落于青山秀水的绿色母体中。 云水山居规划用地总面积将达到1000亩左右，五大组团集别墅、排屋、高层于一体，依坡地而筑，坐落于青山秀水的绿色母体中，创造一座自然之上的城外城。
                  ","
                    自带游泳池、网球场、高尔夫练习场、桑拿按摩、度假酒店、购物商场健身俱乐部、生态旅游区、特色餐饮街。 停 车 位：2135（地下） 规划中的配套：省中医院，万达广场，客运站
                  ",,,"
                    适合刚来杭州不久的年轻人，对于滨江转塘工作的人，可以在这里安个家
                  ",,,"
                    地铁6号线距离3公里，彩虹快速路跟320国道边上，去滨江，去未来科技城，交通方便。
                  ",,,,,,
7,['五月香山'],富阳-银湖科技城,120.016526,30.156412,277,20490,提前预约随时可看,1.03115E+11,32,3室2厅1厨1卫,中楼层 (共11层),135.19㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021/6/4,商品房,2007/9/13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210614QD481146,"
                    地铁口，交通便利，近音乐学院，排屋区，安静宜居，青山环背
                  ","
                    小区位于音乐学院边，交通便利，排屋区，环境优雅，安静，宜居。小区里后一排是高层，前面都是排屋，楼层随低，视野采光不错。
                  ",,,,"
                    税费金额，满五年（免增值税）只有契税、个人所得税。契税首套1.5% 二套2% 个人所得税1%
                  ",,"
                    小区位于杭州地铁6号线，彩虹快速路匝道入口处，交通便利。距离转塘，音乐学院都是很方便的。小区以排屋为主，北背山，空气好，环境优。这套平层位于小区靠后位置安静，视野好前后无高楼遮挡，群山峻岭一览无遗。
                  ",,,,,,,
8,['紫云山庄'],富阳-银湖科技城,120.004132,30.14911,280,19955,提前预约随时可看,1.03116E+11,105,5室2厅1厨3卫,低楼层 (共3层),140.32㎡,,暂无数据,,南 北,混合结构,简装,,,2021/6/18,私产,2004/5/17,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210618BD931462,"
                    320国道，地铁口，位于小区中间位置安静，简装 地上四层
                  ","
                    小区是于1998年建成，主要以独栋别墅，少量联排以及多层小户型为主。小区早年因违建比较多，于2018年、2019年进行整改。并已引进杭州合兴物业管理。现已可正常交易
                  ",,联排,"
                    小区大门出门右转就是公交站，有314、524、495，分别通延安路，吴山广场，滨江。今年年底6号线地铁和彩虹快速路同时通车，目前地下隧道已经全部接通


                  ","
                    紫云山庄中 央位置视线开阔，此层加层后实用面积空间较大，己处理过，可交易。


                  ",,,,,,,,,
9,['华庭云顶'],富阳-银湖科技城,120.0096649,30.13786659,175,15397,提前预约随时可看,1.03116E+11,42,3室2厅1厨2卫,低楼层 (共18层),113.66㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2021/7/10,商品房,2007/7/14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,1.8031E+11,"
                    本房满五年， 南北通透。采光好，业主诚心出售
                  ","
                    小区于2005年左右建成，依山而建共12幢小高层，2002户。户型从小到36，大到230方户型一应俱全，是您安家置业的好去处！
                  ",,,"
                    室内是最早开发商交付的硬装，业主偶尔自住，保养得当。家具家电当时买的都是很好的东西。
                  ","
                    本房是小区东边套户型，三房朝南，两间次卧带阳台，客厅朝北带大阳台  户型全明，主卧朝东南带独立卫生间，私密好
                  ",,,,,,,,,
